neuron_id,community,type
720575940627661820,0,sensor
720575940618237953,1,sensor
720575940624959496,1,sensor
720575940608038921,1,sensor
720575940615301132,1,sensor
720575940617086988,1,sensor
720575940627888144,1,inter
720575940631339026,1,sensor
720575940628318227,1,sensor
720575940628627477,1,sensor
720575940645134359,1,sensor
720575940624080920,1,sensor
720575940634978329,1,sensor
720575940622702618,1,sensor
720575940634890265,1,sensor
720575940632629273,1,sensor
720575940618993693,1,sensor
720575940627890206,1,sensor
720575940618940443,1,sensor
720575940605851680,1,sensor
720575940631590943,1,sensor
720575940644132900,1,sensor
720575940624969765,1,motor
720575940624445478,1,sensor
720575940614983720,1,sensor
720575940629844011,1,sensor
720575940629047340,1,sensor
720575940633892909,1,sensor
720575940632086573,1,sensor
720575940633112623,1,sensor
720575940631306284,1,sensor
720575940619962417,1,sensor
720575940615583794,1,sensor
720575940647938100,1,sensor
720575940627949626,1,motor
720575940618147899,1,sensor
720575940617476155,1,sensor
720575940615999547,1,sensor
720575940631255100,1,sensor
720575940638775359,1,sensor
720575940618041408,1,sensor
720575940619700288,1,sensor
720575940622217281,1,sensor
720575940621779009,1,sensor
720575940638720070,1,inter
720575940624021577,1,motor
720575940627843146,1,sensor
720575940632393803,1,sensor
720575940623343692,1,sensor
720575940624898125,1,sensor
720575940623444044,1,sensor
720575940623345740,1,sensor
720575940618819668,1,sensor
720575940619073620,1,sensor
720575940631732311,1,sensor
720575940640641112,1,sensor
720575940640856152,1,sensor
720575940620656731,1,motor
720575940621070430,1,motor
720575940635517024,1,sensor
720575940619249761,1,sensor
720575940612116578,1,sensor
720575940611772514,1,sensor
720575940632203368,1,sensor
720575940628523113,1,sensor
720575940631584876,1,sensor
720575940646420590,1,sensor
720575940613841010,1,sensor
720575940613455986,1,sensor
720575940612730997,1,sensor
720575940635283575,1,sensor
720575940629766266,1,motor
720575940619880571,1,sensor
720575940627581053,1,sensor
720575940630290558,1,sensor
720575940640716928,1,sensor
720575940627519619,1,sensor
720575940621103239,1,sensor
720575940623499400,1,sensor
720575940624261256,1,sensor
720575940633176204,1,sensor
720575940622037139,1,sensor
720575940625617044,1,sensor
720575940622684308,1,sensor
720575940625658004,1,sensor
720575940613986454,1,sensor
720575940635891866,1,sensor
720575940655112353,1,sensor
720575940640352419,1,sensor
720575940620054694,1,sensor
720575940614912167,1,sensor
720575940612518055,1,sensor
720575940634007725,1,sensor
720575940622162096,1,sensor
720575940606767281,1,sensor
720575940612374707,1,sensor
720575940623546549,1,sensor
720575940622201014,1,sensor
720575940624021687,1,sensor
720575940618451129,1,sensor
720575940626708666,1,sensor
720575940615127227,1,sensor
720575940610414787,1,sensor
720575940624203972,1,sensor
720575940622745796,1,inter
720575940616804550,1,sensor
