source,target,weight
720575940624973831,720575940627981929,88
720575940624973831,720575940630623503,39
720575940624973831,720575940610962069,174
720575940624973831,720575940627604977,338
720575940624973831,720575940634894943,366
720575940624973831,720575940635114396,26
720575940624973831,720575940617198932,187
720575940624973831,720575940639032125,300
720575940624973831,720575940618784109,170
720575940624973831,720575940630311383,109
720575940624973831,720575940627206842,174
720575940624973831,720575940618674648,39
720575940624973831,720575940631109187,33
720575940624973831,720575940629513478,92
720575940624973831,720575940638049136,370
720575940624973831,720575940627692318,31
720575940624973831,720575940615488885,394
720575940624973831,720575940627014172,9
720575940624973831,720575940634499320,10
720575940624973831,720575940623595021,10
720575940624973831,720575940614819926,34
720575940624973831,720575940631638521,5
720575940624973831,720575940627297284,9
720575940624973831,720575940605010633,5
720575940624973831,720575940627478812,72
720575940624973831,720575940637656974,7
720575940624973831,720575940629771257,6
720575940624973831,720575940611300570,7
720575940624973831,720575940613087218,437
720575940624973831,720575940637627581,44
720575940624973831,720575940622078685,60
720575940624973831,720575940626977947,9
720575940624973831,720575940628372562,36
720575940624973831,720575940637547365,11
720575940624973831,720575940631893218,5
720575940624973831,720575940629135097,5
720575940624973831,720575940629933354,13
720575940624973831,720575940630560056,9
720575940624973831,720575940631511327,18
720575940624973831,720575940630328698,48
720575940624973831,720575940629214007,46
720575940624973831,720575940627109123,6
720575940624973831,720575940622906515,9
720575940624973831,720575940624665677,13
720575940624973831,720575940625096240,26
720575940624973831,720575940619754861,77
720575940624973831,720575940638379342,91
720575940624973831,720575940628802888,7
720575940624973831,720575940608832324,7
720575940624973831,720575940620165541,15
720575940624973831,720575940609269259,8
720575940624973831,720575940619674606,6
720575940624973831,720575940620991582,9
720575940624973831,720575940620470448,8
720575940624973831,720575940635041561,5
720575940624973831,720575940611621166,13
720575940624973831,720575940611123954,11
720575940624973831,720575940623154429,5
720575940624973831,720575940619194277,6
720575940624973831,720575940620047877,13
720575940624973831,720575940631673939,10
720575940624973831,720575940627665545,17
720575940624973831,720575940634094271,5
720575940624973831,720575940620060838,9
720575940624973831,720575940630037079,5
720575940624973831,720575940623289532,9
720575940624973831,720575940626562409,17
720575940624973831,720575940609681198,14
720575940624973831,720575940635593396,11
720575940624973831,720575940634144875,12
720575940624973831,720575940610501571,6
720575940624973831,720575940627083397,5
720575940624973831,720575940650149753,5
720575940624973831,720575940628719619,43
720575940624973831,720575940615593044,5
720575940624973831,720575940629115722,5
720575940624973831,720575940608336514,9
720575940624973831,720575940613598887,5
720575940624973831,720575940638200910,9
720575940624973831,720575940627861291,8
720575940624973831,720575940631811373,9
720575940624973831,720575940611027930,6
720575940624973831,720575940632714977,9
720575940624973831,720575940619071646,10
720575940624973831,720575940617124865,5
720575940624973831,720575940629814103,99
720575940632444943,720575940629008636,13
720575940632444943,720575940629546225,12
720575940632444943,720575940640291125,6
720575940632444943,720575940614037229,23
720575940632444943,720575940617180347,51
720575940632444943,720575940612219746,5
720575940632444943,720575940618554041,7
720575940632444943,720575940617673046,10
720575940632444943,720575940623126697,6
720575940632444943,720575940629996794,23
720575940632444943,720575940627286530,5
720575940632444943,720575940628730129,70
720575940632444943,720575940612182824,21
720575940632444943,720575940625391112,9
720575940632444943,720575940636307448,19
720575940611047446,720575940630643275,9
720575940611047446,720575940617518365,24
720575940611047446,720575940609365828,118
720575940611047446,720575940625102224,10
720575940611047446,720575940625779642,25
720575940611047446,720575940604938156,28
720575940611047446,720575940614380455,46
720575940611047446,720575940624737101,34
720575940611047446,720575940635089689,57
720575940611047446,720575940617825620,50
720575940611047446,720575940620165541,21
720575940611047446,720575940613692578,17
720575940611047446,720575940610549060,6
720575940611047446,720575940627604977,5
720575940611047446,720575940630291671,7
720575940611047446,720575940630396022,42
720575940611047446,720575940626434033,13
720575940611047446,720575940641629344,5
720575940611047446,720575940629273913,11
720575940611047446,720575940624665677,9
720575940611047446,720575940634506859,27
720575940611047446,720575940608545219,5
720575940611047446,720575940606149321,9
720575940611047446,720575940624377224,9
720575940611047446,720575940634571383,9
720575940611047446,720575940635681198,105
720575940611047446,720575940610962069,29
720575940611047446,720575940630623503,18
720575940611047446,720575940609681198,7
720575940611047446,720575940629513478,7
720575940611047446,720575940630683383,10
720575940611047446,720575940620835327,14
720575940611047446,720575940616564534,16
720575940611047446,720575940615922875,7
720575940611047446,720575940619615552,5
720575940624154648,720575940620678772,14
720575940624154648,720575940620686964,10
720575940624154648,720575940627715870,7
720575940624154648,720575940613473959,5
720575940624154648,720575940644438551,5
720575940624154648,720575940615036319,7
720575940624154648,720575940622517956,8
720575940624154648,720575940612921746,8
720575940624154648,720575940635970190,5
720575940624154648,720575940648636292,7
720575940624154648,720575940633429331,14
720575940624154648,720575940630658578,5
720575940624154648,720575940628132745,6
720575940624154648,720575940626693130,6
720575940624154648,720575940604737708,14
720575940624154648,720575940634790648,11
720575940624154648,720575940631072783,15
720575940624154648,720575940620380449,13
720575940624154648,720575940625502666,6
720575940624154648,720575940627432680,12
720575940624154648,720575940615522922,10
720575940624154648,720575940630085583,5
720575940624154648,720575940630868281,12
720575940624154648,720575940608144732,23
720575940624154648,720575940619866027,13
720575940624154648,720575940609488942,24
720575940624154648,720575940623992317,14
720575940627890206,720575940613629649,10
720575940627890206,720575940624038438,5
720575940627890206,720575940605899692,9
720575940627890206,720575940628177171,14
720575940627890206,720575940624469700,7
720575940627890206,720575940622745853,11
720575940627890206,720575940641583056,5
720575940627890206,720575940624387401,9
720575940627890206,720575940626201933,7
720575940627890206,720575940638051696,14
720575940627890206,720575940621711087,5
720575940627890206,720575940619148829,78
720575940627890206,720575940619457088,13
720575940627890206,720575940640175731,8
720575940627890206,720575940624931888,11
720575940627890206,720575940651192566,19
720575940627890206,720575940620023686,8
720575940627890206,720575940639086399,13
720575940627890206,720575940625574844,5
720575940627890206,720575940639149033,11
720575940627890206,720575940611372590,13
720575940627890206,720575940619506415,13
720575940627890206,720575940604281120,7
720575940627890206,720575940607064331,18
720575940627890206,720575940645084360,8
720575940627890206,720575940628141193,8
720575940627890206,720575940623444044,6
720575940627890206,720575940625952755,10
720575940627890206,720575940633324627,7
720575940627890206,720575940636471032,5
720575940627890206,720575940626309562,5
720575940627890206,720575940632413651,8
720575940627890206,720575940623467644,10
720575940613144616,720575940634172267,45
720575940613144616,720575940619453861,11
720575940613144616,720575940631011328,21
720575940613144616,720575940628805448,6
720575940613144616,720575940626609234,97
720575940613144616,720575940613891442,7
720575940613144616,720575940633396636,21
720575940613144616,720575940626006200,31
720575940613144616,720575940611385806,23
720575940613144616,720575940644641696,7
720575940613144616,720575940620171892,18
720575940613144616,720575940628136347,16
720575940613144616,720575940641464309,14
720575940613144616,720575940629327659,19
720575940613144616,720575940631625979,5
720575940613144616,720575940634743999,8
720575940613144616,720575940631705130,5
720575940613144616,720575940640834211,5
720575940613144616,720575940616449465,15
720575940613144616,720575940631623417,9
720575940613144616,720575940627980955,8
720575940613144616,720575940629812346,16
720575940613144616,720575940623067389,18
720575940613144616,720575940613458403,5
720575940613144616,720575940649591673,5
720575940613144616,720575940631542732,63
720575940613144616,720575940617917396,5
720575940613144616,720575940627368723,15
720575940613144616,720575940635089945,5
720575940613144616,720575940619637056,18
720575940629823531,720575940629715305,6
720575940629823531,720575940628592968,77
720575940629823531,720575940646608180,9
720575940629823531,720575940622314339,5
720575940629823531,720575940615295143,5
720575940629823531,720575940640851363,38
720575940629823531,720575940625445130,10
720575940629823531,720575940632569145,5
720575940629823531,720575940652611745,18
720575940629823531,720575940634857583,7
720575940629823531,720575940615043158,7
720575940629823531,720575940626293534,7
720575940629823531,720575940612323025,13
720575940629823531,720575940621921901,5
720575940629823531,720575940622700201,5
720575940629823531,720575940632475449,20
720575940629823531,720575940630006521,7
720575940614979634,720575940623113752,5
720575940614979634,720575940638360798,22
720575940614979634,720575940661089921,5
720575940614979634,720575940629256779,25
720575940614979634,720575940624923655,24
720575940614979634,720575940612612094,5
720575940614979634,720575940624945333,5
720575940614979634,720575940620173737,12
720575940614979634,720575940626818085,11
720575940614979634,720575940618886710,23
720575940614979634,720575940620258480,7
720575940614979634,720575940611934706,8
720575940614979634,720575940610313570,7
720575940614979634,720575940620020315,6
720575940614979634,720575940634646753,14
720575940614979634,720575940622324991,10
720575940614979634,720575940631927583,6
720575940614979634,720575940634431935,17
720575940632707129,720575940640311715,20
720575940632707129,720575940616199071,5
720575940632707129,720575940628791812,19
720575940632707129,720575940640062005,5
720575940632707129,720575940661289345,6
720575940632707129,720575940618609112,6
720575940632707129,720575940615827980,7
720575940632707129,720575940626497286,12
720575940632707129,720575940620139105,9
720575940632707129,720575940611563310,11
720575940632707129,720575940626000056,6
720575940632707129,720575940604933344,7
720575940632707129,720575940623126697,23
720575940617928763,720575940624428426,18
720575940617928763,720575940636307448,27
720575940617928763,720575940631619944,16
720575940617928763,720575940614278696,5
720575940617928763,720575940626900368,10
720575940617928763,720575940614800815,90
720575940617928763,720575940625391112,52
720575940617928763,720575940611507057,16
720575940617928763,720575940605844448,7
720575940617928763,720575940640291125,18
