src,dst,weight
s0,i9,1.0
s0,i10,1.0
s0,i11,1.0
s1,i9,1.0
s1,i10,1.0
s1,i11,1.0
s2,i0,1.0
s2,i1,1.0
s2,i2,1.0
s3,i1,1.0
s3,i2,1.0
s3,i3,1.0
s4,i2,1.0
s4,i3,1.0
s4,i4,1.0
s5,i10,1.0
s5,i11,1.0
s5,i12,1.0
i0,i3,0.6
i1,i2,0.6
i1,i5,0.6
i2,i1,0.6
i2,i4,0.6
i3,i0,0.6
i4,i2,0.6
i4,i5,0.6
i5,i1,0.6
i5,i4,0.6
i6,i9,0.6
i7,i8,0.6
i7,i11,0.6
i8,i7,0.6
i8,i10,0.6
i9,i6,0.6
i10,i8,0.6
i10,i11,0.6
i11,i7,0.6
i11,i10,0.6
i12,i15,0.6
i13,i14,0.6
i13,i17,0.6
i14,i13,0.6
i14,i16,0.6
i15,i12,0.6
i16,i14,0.6
i16,i17,0.6
i17,i13,0.6
i17,i16,0.6
i0,m0,1.0
i1,m0,1.0
i2,m0,1.0
i3,m1,1.0
i4,m1,1.0
i5,m1,1.0
i6,m2,1.0
i7,m2,1.0
i8,m2,1.0
i9,m3,1.0
i10,m3,1.0
i11,m3,1.0
i12,m4,1.0
i13,m4,1.0
i14,m4,1.0
i15,m5,1.0
i16,m5,1.0
i17,m5,1.0
m0,i0,0.25
i0,s0,0.15
m1,i1,0.25
i1,s1,0.15
m2,i2,0.25
i2,s2,0.15
m3,i3,0.25
i3,s3,0.15
m4,i4,0.25
i4,s4,0.15
m5,i5,0.25
i5,s5,0.15
